CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,S'ALBUFERA,ES1093A,Background,Rural,Dibenzo(ah)anthracene in PM10 (aerosol),SP_07003001_94_M,39.78995,3.07413,6,Continuous data collection,2014-01-01T00:00:00Z,,SAM_07003001_94_M,SPP_07003001_94_M.1,,,,High performance liquid chromatography - mass spectrometry (HPLC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,CAN MISSES,ES1246A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SP_07026001_10_49,38.9138,1.4143,25,Continuous data collection,2000-01-01T00:00:00Z,2018-10-08T00:00:00Z,SAM_07026001_10_49,SPP_07026001_10_49.1,Thermo model 5030 SHARP Particular Monitor with PM10 & PM2.5 heads,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,SANT LLUIS,ES1094A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SP_07032001_10_49,39.8749,4.2586,65,Continuous data collection,2000-01-01T00:00:00Z,2018-12-31T00:00:00Z,SAM_07032001_10_49,SPP_07032001_10_49.1,Thermo model 5030 SHARP Particular Monitor with PM10 & PM2.5 heads,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,POUS,ES1095A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SP_07032002_10_49,39.8909,4.253,55,Continuous data collection,2000-11-01T00:00:00Z,,SAM_07032002_10_49,SPP_07032002_10_49.1,Thermo model 5030 SHARP Particular Monitor with PM10 & PM2.5 heads,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,POUS,ES1095A,Industrial,Urban,Nitrogen oxides (air),SP_07032002_12_8,39.8909,4.253,55,Continuous data collection,1993-01-01T00:00:00Z,,SAM_07032002_12_8,SPP_07032002_12_8.1,MCV 30-QL,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,POUS,ES1095A,Industrial,Urban,Nitrogen dioxide (air),SP_07032002_8_8,39.8909,4.253,55,Continuous data collection,1993-01-01T00:00:00Z,,SAM_07032002_8_8,SPP_07032002_8_8.1,MCV 30-QL,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,EMEP/VAG/CAMP,AGENCIA ESTATAL METEOROLOGÍA,UTC,MAHÓN,ES0006R,Background,Rural,Sulphur dioxide (air),SP_07032999_1_38,39.87528,4.31639,78,Continuous data collection,2008-01-01T00:00:00Z,,SAM_07032999_1_38,SPP_07032999_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,EMEP/VAG/CAMP,AGENCIA ESTATAL METEOROLOGÍA,UTC,MAHÓN,ES0006R,Background,Rural,Benzo(k)fluoranthene in PM10 (aerosol),SP_07032999_96_M,39.87528,4.31639,78,Continuous data collection,2009-01-01T00:00:00Z,,SAM_07032999_96_M,SPP_07032999_96_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,FONERS,ES1610A,Traffic,Urban,Ozone (air),SP_07040002_14_6,39.57008,2.65583,23,Continuous data collection,2001-10-01T00:00:00Z,,SAM_07040002_14_6,SPP_07040002_14_6.1,MCV 48-AUV,Ultraviolet (UV) photometry,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,FONERS,ES1610A,Traffic,Urban,Lead in PM10 (aerosol),SP_07040002_19_M,39.57008,2.65583,23,Continuous data collection,2009-01-01T00:00:00Z,,SAM_07040002_19_M,SPP_07040002_19_M.1,,,,Graphite furnace atomic absorption spectrometry (GF-AAS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
