CountryOrTerritory,Namespace,Network,ResponsibleParty,TimeZone,StationName,EoICode,StationType,StationArea,Pollutant,SamplingPointId,Latitude,Longitude,Altitudee,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,Sample,SamplingProcess,MeasurementEquipment,MeasurementMethod,SamplingEquipment,AnalyticalTechnique,envelope
Spain,ES.BDCA.AQD,EMEP/VAG/CAMP,AGENCIA ESTATAL METEOROLOGÍA,UTC,VÍZNAR,ES0007R,Background,Rural,Cooper (precip+dry_dep),SP_18189999_322_I,37.23722,-3.53417,1230,Continuous data collection,2007-01-01T00:00:00Z,,SAM_18189999_322_I,SPP_18189999_322_I.1,,,,Inductive coupled plasma mass spectrometryscopy (ICP-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cast. la Mancha,"CONSEJERÍA DE AGRICULTURA, MEDIO AMBIENTE Y DESARROLLO RURAL. VICECONSEJERÍA DE MEDIO AMBIENTE (CASTILLA LA MANCHA)",UTC,GUADALAJARA,ES1537A,Background,Urban,Ozone (air),SP_19130001_14_6,40.62984,-3.17159,700,Continuous data collection,2018-03-27T00:00:00Z,,SAM_19130001_14_6,SPP_19130001_14_6.2,Teledyne API T400 UV photometric O3 analyser,Ultraviolet (UV) photometry,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,HERNANI,ES1497A,Traffic,Urban,Nitrogen monoxide (air),SP_20040001_7_8,43.2675,-1.9777,18,Continuous data collection,1998-01-01T00:00:00Z,,SAM_20040001_7_8,SPP_20040001_7_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,ARRASATE,ES1442A,Traffic,Urban,Sulphur dioxide (air),SP_20055001_1_38,43.0642,-2.4904,218,Continuous data collection,1996-01-01T00:00:00Z,,SAM_20055001_1_38,SPP_20055001_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,RENTERIA,ES1496A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SP_20067001_10_49,43.31444444,-1.89944444,23,Continuous data collection,1998-10-01T00:00:00Z,2012-11-01T00:00:00Z,SAM_20067001_10_49,SPP_20067001_10_49.1,Unknown,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,AVENIDA TOLOSA,ES1697A,Traffic,Urban,acenaphthene (air+aerosol),SP_20069005_73_M,43.3094,-2.0109,3,Continuous data collection,2014-01-01T00:00:00Z,,SAM_20069005_73_M,SPP_20069005_73_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,EASO,ES2101A,Traffic,Urban,Nitrogen dioxide (air),SP_20069006_8_8,43.31217,-1.98083,6,Continuous data collection,2020-01-01T00:00:00Z,,SAM_20069006_8_8,SPP_20069006_8_8.1,Thermo model 42i NO/Nox analyser,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,ZUMARRAGA,ES2103A,Background,Urban,Particulate matter < 2.5 µm (aerosol),SP_20080001_9_49,43.12518,-2.31811,357,Continuous data collection,2020-01-01T00:00:00Z,,SAM_20080001_9_49,SPP_20080001_9_49.1,Thermo 5014i Beta Continuous Ambient Particulate Monitor,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,LOS ROSALES,ES1256A,Industrial,Urban,Particulate matter < 10 µm (aerosol),SP_21041010_10_49,37.26016,-6.92546,23,Continuous data collection,1993-09-01T00:00:00Z,,SAM_21041010_10_49,SPP_21041010_10_49.1,Unknown,Beta ray attenuation,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,LOS ROSALES,ES1256A,Industrial,Urban,Ethyl benzene (air),SP_21041010_35_I,37.26016,-6.92546,23,Continuous data collection,2009-01-01T00:00:00Z,,SAM_21041010_35_I,SPP_21041010_35_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,MARISMAS DEL TITÁN,ES1328A,Industrial,Urban,Carbon monoxide (air),SP_21041015_6_48,37.25258,-6.94219,17,Continuous data collection,1993-05-07T00:00:00Z,,SAM_21041015_6_48,SPP_21041015_6_48.1,Unknown,Non-dispersive infrared spectroscopy (NDIR),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,MARISMAS DEL TITÁN,ES1328A,Industrial,Urban,Nitrogen monoxide (air),SP_21041015_7_8,37.25258,-6.94219,17,Continuous data collection,2018-12-26T00:00:00Z,,SAM_21041015_7_8,SPP_21041015_7_8.2,Thermo model 42i NO/Nox analyser,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,CAMPUS DEL CARMEN,ES1658A,Industrial,Urban,Sulphur dioxide (air),SP_21041017_1_38,37.27148,-6.92462,48,Continuous data collection,2003-05-22T00:00:00Z,2018-12-25T00:00:00Z,SAM_21041017_1_38,SPP_21041017_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,CAMPUS DEL CARMEN,ES1658A,Industrial,Urban,Nickel in PM10 (aerosol),SP_21041017_62_M,37.27148,-6.92462,48,Continuous data collection,2008-01-01T00:00:00Z,,SAM_21041017_62_M,SPP_21041017_62_M.1,,,,Inductive coupled plasma atomic emission spectrometry (ICP-AES),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Castilla y León,DIRECCIÓN GENERAL DE CALIDAD Y SOSTENIBILIDAD AMBIENTAL. JUNTA DE CASTILLA Y LEÓN,UTC,PUENTE REGUERAL,ES1636A,Industrial,Urban,"m,p-Xylene (air)",SP_47186030_431_59,41.65611111,-4.73388888,691,Continuous data collection,2012-01-01T00:00:00Z,2018-01-25T00:00:00Z,SAM_47186030_431_59,SPP_47186030_431_59.1,Unknown,Gas chromatography followed by mass spectrometry (GC-MS),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Castilla y León,DIRECCIÓN GENERAL DE CALIDAD Y SOSTENIBILIDAD AMBIENTAL. JUNTA DE CASTILLA Y LEÓN,UTC,PUENTE REGUERAL,ES1636A,Industrial,Urban,Nitrogen monoxide (air),SP_47186030_7_8,41.65611111,-4.73388888,691,Continuous data collection,2002-08-01T00:00:00Z,,SAM_47186030_7_8,SPP_47186030_7_8.1,Environnement S.A. Model AC30M NO2 Analyzer,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,BARAKALDO,ES1712A,Background,Urban,Nitrogen oxides (air),SP_48013006_12_8,43.2984,-2.9871,17,Continuous data collection,2004-04-01T00:00:00Z,,SAM_48013006_12_8,SPP_48013006_12_8.1,Thermo model 42c NO/Nox analyser,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,DIRECCIÓN DE SALUD,ES0041A,Traffic,Urban,Manganese (aerosol),SP_48020006_61_M,43.25883,-2.94565,32,Continuous data collection,2000-04-01T00:00:00Z,2002-12-31T00:00:00Z,SAM_48020006_61_M,SPP_48020006_61_M.1,,,,Atomic absorption spectrometry (AAS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,DIRECCIÓN DE SALUD,ES0041A,Traffic,Urban,naphtalene (air+aerosol),SP_48020006_71_M,43.25883,-2.94565,32,Continuous data collection,2014-01-01T00:00:00Z,,SAM_48020006_71_M,SPP_48020006_71_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,MUSKIZ,ES0587A,Industrial,Suburban,Nitrogen dioxide (air),SP_48071002_8_8,43.32074,-3.11272,30,Continuous data collection,1989-05-01T00:00:00Z,,SAM_48071002_8_8,SPP_48071002_8_8.1,Thermo model 42i NO/Nox analyser,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,Ayto Zaragoza,AYUNTAMIENTO DE ZARAGOZA. AGENCIA DE MEDIO AMBIENTE Y SOSTENIBILIDAD,UTC,JAIME FERRÁN,ES1090A,Industrial,Suburban,Nitrogen oxides (air),SP_50297032_12_8,41.67417,-0.86417,196,Continuous data collection,2012-01-01T00:00:00Z,,SAM_50297032_12_8,SPP_50297032_12_8.1,Thermo model 42c NO/Nox analyser,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,Ayto Zaragoza,AYUNTAMIENTO DE ZARAGOZA. AGENCIA DE MEDIO AMBIENTE Y SOSTENIBILIDAD,UTC,CENTRO,ES1837A,Traffic,Urban,Ozone (air),SP_50297038_14_6,41.64833,-0.88389,210,Continuous data collection,2006-01-01T00:00:00Z,,SAM_50297038_14_6,SPP_50297038_14_6.1,Thermo model 49 O3 analyser,Ultraviolet (UV) photometry,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA País Vasco,"DEPARTAMENTO DE MEDIO AMBIENTE, POLITICA TERRITORIAL Y VIVIENDA - GOBIERNO VASCO",UTC,TRES MARZO,ES1492A,Traffic,Urban,Benzo(k)fluoranthene in PM10 (aerosol),SP_01059009_96_M,42.85607,-2.66779,518,Continuous data collection,2009-01-01T00:00:00Z,,SAM_01059009_96_M,SPP_01059009_96_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cast. la Mancha,"CONSEJERÍA DE AGRICULTURA, MEDIO AMBIENTE Y DESARROLLO RURAL. VICECONSEJERÍA DE MEDIO AMBIENTE (CASTILLA LA MANCHA)",UTC,ALBACETE,ES1535A,Background,Suburban,"1,2,4-Trimethylbenzene (air)",SP_02003001_424_I,38.9793,-1.8521,686,Continuous data collection,2013-01-01T00:00:00Z,,SAM_02003001_424_I,SPP_02003001_424_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Com. Valenciana,"CONSELLERIA DE AGRICULTURA, MEDIO AMBIENTE, CAMBIO CLIMATICO Y DESARROLLO RURAL (VALENCIA)",UTC,ORIHUELA,ES1677A,Background,Suburban,Nitrogen dioxide (air),SP_03099002_8_8,38.08472222,-0.85277777,32,Continuous data collection,2004-03-01T00:00:00Z,,SAM_03099002_8_8,SPP_03099002_8_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,PZA. DEL CASTILLO,ES1845A,Industrial,Urban,Benzo(ghi)perylene in PM10 (aerosol),SP_04032005_80_M,36.99678,-1.89535,5,Continuous data collection,2008-01-01T00:00:00Z,2008-12-31T00:00:00Z,SAM_04032005_80_M,SPP_04032005_80_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,PALOMARES,ES1547A,Industrial,Rural,Sulphur dioxide (air),SP_04035002_1_38,37.25497,-1.78174,11,Continuous data collection,2000-09-01T00:00:00Z,,SAM_04035002_1_38,SPP_04035002_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,CAMPOHERMOSO,ES0625A,Industrial,Suburban,"m,p-Xylene (air)",SP_04066004_431_I,36.93385,-2.12819,152,Continuous data collection,2009-01-01T00:00:00Z,2015-07-13T00:00:00Z,SAM_04066004_431_I,SPP_04066004_431_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,LA GRANATILLA,ES2066A,Industrial,Suburban,Sulphur dioxide (air),SP_04066009_1_38,36.9581,-2.1592,200,Continuous data collection,2015-07-13T00:00:00Z,,SAM_04066009_1_38,SPP_04066009_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Andalucía,"CONSEJERIA DE AGRICULTURA, GANADERIA, PESCA Y DESARROLLO SOSTENIBLE. DIRECCION GENERAL DE CALIDAD AMBIENTAL Y CAMBIO CLIMATICO (JUNTA DE ANDALUCIA)",UTC,EL EJIDO,ES1549A,Background,Urban,Nitrogen dioxide (air),SP_04902001_8_8,36.76972,-2.81097,97,Continuous data collection,2000-06-23T00:00:00Z,,SAM_04902001_8_8,SPP_04902001_8_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Castilla y León,DIRECCIÓN GENERAL DE CALIDAD Y SOSTENIBILIDAD AMBIENTAL. JUNTA DE CASTILLA Y LEÓN,UTC,ÁVILA 2,ES2029A,Background,Suburban,Arsenic in PM10 (aerosol),SP_05019002_17_M,40.66472,-4.70083,1150,Continuous data collection,2015-01-01T00:00:00Z,,SAM_05019002_17_M,SPP_05019002_17_M.1,,,,Inductive coupled plasma mass spectrometryscopy (ICP-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Extremadura,"CONSEJERIA DE MEDIO AMBIENTE Y RURAL, POLITICAS AGRARIAS Y TERRITORIO (JUNTA DE EXTREMADURA)",UTC,MERIDA,ES1819A,Background,Urban,Particulate matter < 10 µm (aerosol),SP_06083001_10_M,38.9075,-6.33806,214,Continuous data collection,2006-07-27T00:00:00Z,,SAM_06083001_10_M,SPP_06083001_10_M.1,,,,Gravimetric analysis,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Extremadura,"CONSEJERIA DE MEDIO AMBIENTE Y RURAL, POLITICAS AGRARIAS Y TERRITORIO (JUNTA DE EXTREMADURA)",UTC,ZAFRA,ES1820A,Background,Suburban,Nitrogen oxides (air),SP_06158001_12_8,38.42917,-6.395,551,Continuous data collection,2006-06-14T00:00:00Z,,SAM_06158001_12_8,SPP_06158001_12_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Extremadura,"CONSEJERIA DE MEDIO AMBIENTE Y RURAL, POLITICAS AGRARIAS Y TERRITORIO (JUNTA DE EXTREMADURA)",UTC,ZAFRA,ES1820A,Background,Suburban,Ozone (air),SP_06158001_14_6,38.42917,-6.395,551,Continuous data collection,2006-06-14T00:00:00Z,,SAM_06158001_14_6,SPP_06158001_14_6.1,Unknown,Ultraviolet (UV) photometry,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,CAN MISSES,ES1246A,Industrial,Urban,Dibenzo(ah)anthracene in PM10 (aerosol),SP_07026001_94_M,38.9138,1.4143,25,Continuous data collection,2014-01-01T00:00:00Z,,SAM_07026001_94_M,SPP_07026001_94_M.1,,,,High performance liquid chromatography - mass spectrometry (HPLC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,PORT DE MAO,ES2092A,Industrial,Suburban,Benzo(b)fluoranthene in PM10 (aerosol),SP_07032003_98_M,39.8926,4.257,42,Continuous data collection,2019-01-21T00:00:00Z,,SAM_07032003_98_M,SPP_07032003_98_M.1,,,,High performance liquid chromatography - mass spectrometry (HPLC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,EMEP/VAG/CAMP,AGENCIA ESTATAL METEOROLOGÍA,UTC,MAHÓN,ES0006R,Background,Rural,pyrene (precip+dry_dep),SP_07032999_311_I,39.87528,4.31639,78,Continuous data collection,2007-01-01T00:00:00Z,,SAM_07032999_311_I,SPP_07032999_311_I.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,FONERS,ES1610A,Traffic,Urban,Benzene (air),SP_07040002_30_59,39.57008,2.65583,23,Continuous data collection,2002-05-01T00:00:00Z,,SAM_07040002_30_59,SPP_07040002_30_59.1,AMA GC5000 BTX Type FID,Gas chromatography followed by mass spectrometry (GC-MS),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Baleares,"DIRECCIÓ GENERAL D'ENERGIA I CANVI CLIMÀTIC. CONSELLERIA DE TERRITORI, ENERGIA I MOBILITAT. SECCIÓ CONTAMINACIÓ ATMOSFÈRICA. GOVERN DE LES ILLES BALEARS",UTC,TORRENT-SANTA EULALIA,ES1831A,Background,Rural,Benzo(a)pyrene in PM10 (aerosol),SP_07054001_27_M,38.93492,1.43181,12,Continuous data collection,2015-01-01T00:00:00Z,,SAM_07054001_27_M,SPP_07054001_27_M.1,,,,Gas chromatography + mass spectrometry (GC-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cataluña,DIRECCIO GENERAL DE QUALITAT AMBIENTAL. SERVICIO DE VIGILANCIA Y CONTROL DEL AIRE (CATALUNA),UTC,Barcelona (pl. de la Universitat),ES0559A,Traffic,Urban,Nickel in PM10 (aerosol),SP_08019028_62_M,41.387423958,2.164918317,24,Continuous data collection,2009-01-01T00:00:00Z,2011-12-31T00:00:00Z,SAM_08019028_62_M,SPP_08019028_62_M.2,,,,Inductive coupled plasma atomic emission spectrometry (ICP-AES),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Canarias,SERVICIO DE PREVENCION Y CONTROL DE LA CONTAMINACION. VICECONSEJERIA DE MEDIO AMBIENTE - GOBIERNO DE CANARIAS,UTC,DEPÓSITO TRISTÁN-STA CRUZ DE TF,ES1975A,Background,Urban,Nitrogen monoxide (air),SP_38038022_7_8,28.45816,-16.278776,200,Continuous data collection,2010-04-05T00:00:00Z,,SAM_38038022_7_8,SPP_38038022_7_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Canarias,SERVICIO DE PREVENCION Y CONTROL DE LA CONTAMINACION. VICECONSEJERIA DE MEDIO AMBIENTE - GOBIERNO DE CANARIAS,UTC,GARCÍA ESCÁMEZ-STA CRUZ DE TF,ES2020A,Industrial,Urban,Particulate matter < 2.5 µm (aerosol),SP_38038025_9_46,28.45666,-16.271836,119,Continuous data collection,2011-09-25T00:00:00Z,,SAM_38038025_9_46,SPP_38038025_9_46.1,Unknown,Light scattering,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Canarias,SERVICIO DE PREVENCION Y CONTROL DE LA CONTAMINACION. VICECONSEJERIA DE MEDIO AMBIENTE - GOBIERNO DE CANARIAS,UTC,PARQUE BOMBEROS-STA CRUZ DE TF,ES2056A,Industrial,Urban,Carbon monoxide (air),SP_38038030_6_48,28.45836,-16.26094,57,Continuous data collection,2013-04-18T00:00:00Z,2016-01-01T00:00:00Z,SAM_38038030_6_48,SPP_38038030_6_48.1,Unknown,Non-dispersive infrared spectroscopy (NDIR),,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Canarias,SERVICIO DE PREVENCION Y CONTROL DE LA CONTAMINACION. VICECONSEJERIA DE MEDIO AMBIENTE - GOBIERNO DE CANARIAS,UTC,PALMETUM,ES2074A,Industrial,Urban,Nitrogen monoxide (air),SP_38038033_7_8,28.47544,-16.25853,2,Continuous data collection,2015-04-30T00:00:00Z,,SAM_38038033_7_8,SPP_38038033_7_8.1,Unknown,Chemiluminescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Islas Canarias,SERVICIO DE PREVENCION Y CONTROL DE LA CONTAMINACION. VICECONSEJERIA DE MEDIO AMBIENTE - GOBIERNO DE CANARIAS,UTC,ECHEDO-VALVERDE,ES2024A,Background,Suburban,Sulphur dioxide (air),SP_38048001_1_38,27.831766,-17.921671,375,Continuous data collection,2013-01-01T00:00:00Z,,SAM_38048001_1_38,SPP_38048001_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cantabria,CENTRO DE INVESTIGACIÓN DEL MEDIO AMBIENTE (CANTABRIA),UTC,PARQUE DE CROSS,ES1577A,Industrial,Urban,Cadmium in PM10 (aerosol),SP_39016003_28_M,43.42083,-3.84111,10,Continuous data collection,2012-01-01T00:00:00Z,,SAM_39016003_28_M,SPP_39016003_28_M.1,,,,Inductive coupled plasma mass spectrometryscopy (ICP-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cantabria,CENTRO DE INVESTIGACIÓN DEL MEDIO AMBIENTE (CANTABRIA),UTC,CASTRO URDIALES,ES1578A,Background,Urban,Lead in PM10 (aerosol),SP_39020001_19_M,43.3825,-3.22056,20,Continuous data collection,2011-01-01T00:00:00Z,,SAM_39020001_19_M,SPP_39020001_19_M.1,,,,Inductive coupled plasma mass spectrometryscopy (ICP-MS),http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
Spain,ES.BDCA.AQD,CCAA Cantabria,CENTRO DE INVESTIGACIÓN DEL MEDIO AMBIENTE (CANTABRIA),UTC,TETUÁN,ES1529A,Background,Urban,Sulphur dioxide (air),SP_39075005_1_38,43.46778,-3.79028,30,Continuous data collection,1999-01-01T00:00:00Z,,SAM_39075005_1_38,SPP_39075005_1_38.1,Unknown,UV fluorescence,,,http://cdr.eionet.europa.eu/es/eu/aqd/d/envxfin7q
